date,symbol,side,qty,entry_price,exit_price,pnl
2026-01-06,NIFTY06JAN2623500CE,BUY,50,85.50,112.25,1337.50
2026-01-06,NIFTY06JAN2623500PE,BUY,50,72.00,55.30,-835.00
2026-01-13,NIFTY13JAN2623800CE,BUY,50,120.00,165.50,2275.00
2026-01-13,RELIANCE-EQ,BUY,10,2480.00,2510.00,300.00
2026-01-20,NIFTY20JAN2624000CE,BUY,50,95.00,60.00,-1750.00
2026-01-20,NIFTY20JAN2624000PE,BUY,50,88.00,142.00,2700.00
2026-01-27,NIFTY27JAN2623600CE,BUY,50,110.00,45.00,-3250.00
2026-01-27,NIFTY27JAN2623600PE,BUY,50,105.00,180.00,3750.00
2026-01-27,BANKNIFTY27JAN2651000PE,BUY,15,220.00,420.00,3000.00
2026-02-03,NIFTY03FEB2623200CE,BUY,75,55.00,22.00,-2475.00
2026-02-03,NIFTY03FEB2623200PE,BUY,75,68.00,35.00,-2475.00
2026-02-03,RELIANCE-EQ,SELL,20,2520.00,2485.00,700.00
2026-02-10,NIFTY10FEB2622800CE,BUY,50,145.00,220.00,3750.00
2026-02-10,NIFTY10FEB2622800PE,BUY,50,60.00,40.00,-1000.00
2026-02-17,NIFTY17FEB2622500PE,BUY,100,82.00,155.00,7300.00
2026-02-17,NIFTY17FEB2622500CE,BUY,100,95.00,42.00,-5300.00
2026-02-24,NIFTY24FEB2623000CE,BUY,50,135.00,78.00,-2850.00
2026-02-24,NIFTY24FEB2623000PE,BUY,50,118.00,68.00,-2500.00
2026-02-24,NIFTY24FEB2622800PE,BUY,50,140.00,95.00,-2250.00
2026-03-03,NIFTY03MAR2622500CE,BUY,75,70.00,115.00,3375.00
2026-03-03,NIFTY03MAR2622500PE,BUY,75,85.00,55.00,-2250.00
2026-03-10,NIFTY10MAR2623000CE,BUY,50,160.00,240.00,4000.00
2026-03-10,NIFTY10MAR2623000PE,BUY,50,90.00,60.00,-1500.00
2026-03-17,NIFTY17MAR2622800CE,BUY,100,50.00,20.00,-3000.00
2026-03-17,NIFTY17MAR2622800PE,BUY,100,55.00,18.00,-3700.00
2026-03-17,NIFTY17MAR2622600PE,BUY,100,70.00,22.00,-4800.00
2026-03-24,NIFTY24MAR2623200CE,BUY,50,130.00,195.00,3250.00
2026-03-24,NIFTY24MAR2623200PE,BUY,50,115.00,72.00,-2150.00
2026-03-31,NIFTY31MAR2623500CE,BUY,75,88.00,145.00,4275.00
2026-03-31,NIFTY31MAR2623500PE,BUY,75,75.00,48.00,-2025.00
